+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/4/4.ini "
-      数据(惯导) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703135800highway_2.bin "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/4/GNSS/4.pos "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/4/Loose "

+ (3)  重要处理参数
-      处理模式 = " 松组合 "
-      惯导仪器型号 = "  "
-      杆臂安装信息 = " -0.700,-0.250,-0.700 "杆臂量取至L1相位中心
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 14:49:46 "
-      时间(数据) = " 2020/07/03 05:58:21 ~ 2020/07/03 06:31:43 "
-      时间(处理) = " 2020/07/03 05:58:26 ~ 2020/07/03 06:30:12 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
453917.000    30.4741580180   114.4804554099     25.844 
453918.000    30.4741540003   114.4802106584     25.355 
453919.000    30.4741490388   114.4799640876     24.900 
453920.000    30.4741423464   114.4797150868     24.528 
453921.000    30.4741335744   114.4794634004     24.285 
453922.000    30.4741231194   114.4792091349     24.149 
453923.000    30.4741114409   114.4789520943     24.100 
453924.000    30.4740986942   114.4786921133     24.118 
453925.000    30.4740846738   114.4784292363     24.132 
453926.000    30.4740695431   114.4781637864     24.110 
453927.000    30.4740532447   114.4778964045     24.077 
453928.000    30.4740354699   114.4776275451     24.039 
453929.000    30.4740169123   114.4773606592     23.992 
453930.000    30.4739976302   114.4770985541     23.973 
453931.000    30.4739780564   114.4768380316     24.006 
453932.000    30.4739578614   114.4765794357     24.062 
453933.000    30.4739365118   114.4763233383     24.171 
453934.000    30.4739139574   114.4760710842     24.310 
453935.000    30.4738917961   114.4758222116     24.453 
453936.000    30.4738701927   114.4755765168     24.608 
453937.000    30.4738483002   114.4753342483     24.784 
453938.000    30.4738256305   114.4750942722     24.971 
453939.000    30.4738023890   114.4748563922     25.197 
453940.000    30.4737789091   114.4746205366     25.452 
453941.000    30.4737546221   114.4743869638     25.706 
453942.000    30.4737295892   114.4741587213     25.989 
453943.000    30.4737047623   114.4739369797     26.285 
453944.000    30.4736797348   114.4737216215     26.588 
453945.000    30.4736548829   114.4735124563     26.897 
453946.000    30.4736309072   114.4733093203     27.176 
453947.000    30.4736078641   114.4731120553     27.454 
453948.000    30.4735857403   114.4729206669     27.725 
