+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/2/2.ini "
-      数据(惯导) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703133220_2.bin "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/2/GNSS/2.pos "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/2/Loose "

+ (3)  重要处理参数
-      处理模式 = " 松组合 "
-      惯导仪器型号 = "  "
-      杆臂安装信息 = " -0.700,-0.250,-0.700 "杆臂量取至L1相位中心
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 14:48:42 "
-      时间(数据) = " 2020/07/03 05:32:41 ~ 2020/07/03 05:54:17 "
-      时间(处理) = " 2020/07/03 05:33:00 ~ 2020/07/03 05:47:41 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
452283.000    30.4570886586   114.6603093772     12.668 
452284.000    30.4570886594   114.6603093691     12.668 
452285.000    30.4570886656   114.6603093728     12.668 
452286.000    30.4570886688   114.6603093780     12.667 
452287.000    30.4570886676   114.6603093788     12.665 
452288.000    30.4570886631   114.6603093730     12.665 
452289.000    30.4570886582   114.6603093571     12.666 
452290.000    30.4570886585   114.6603093638     12.666 
452291.000    30.4570886614   114.6603093707     12.667 
452292.000    30.4570886663   114.6603093594     12.667 
452293.000    30.4570886681   114.6603093622     12.666 
452294.000    30.4570886620   114.6603093633     12.668 
452295.000    30.4570886632   114.6603093601     12.671 
452296.000    30.4570886659   114.6603093814     12.677 
452297.000    30.4570886654   114.6603094380     12.684 
452298.000    30.4570886703   114.6603094562     12.686 
452299.000    30.4570886714   114.6603093909     12.679 
452300.000    30.4570886791   114.6603093415     12.670 
452301.000    30.4570886842   114.6603093423     12.666 
452302.000    30.4570886841   114.6603093454     12.667 
452303.000    30.4570886776   114.6603093453     12.668 
452304.000    30.4570886798   114.6603093562     12.669 
452305.000    30.4570886811   114.6603093579     12.669 
452306.000    30.4570886730   114.6603093649     12.671 
452307.000    30.4570886646   114.6603093667     12.673 
452308.000    30.4570886670   114.6603093741     12.674 
452309.000    30.4570886838   114.6603093827     12.674 
452310.000    30.4570886801   114.6603093785     12.676 
452311.000    30.4570886780   114.6603093762     12.676 
452312.000    30.4570886813   114.6603093807     12.677 
452313.000    30.4570886809   114.6603093827     12.678 
452314.000    30.4570886850   114.6603093845     12.678 
452315.000    30.4570886891   114.6603093958     12.677 
452316.000    30.4570886918   114.6603093876     12.677 
452317.000    30.4570886894   114.6603093868     12.678 
452318.000    30.4570886896   114.6603093708     12.679 
452319.000    30.4570886838   114.6603093744     12.680 
452320.000    30.4570886763   114.6603093722     12.681 
452321.000    30.4570886736   114.6603093698     12.683 
452322.000    30.4570886775   114.6603093840     12.683 
452323.000    30.4570886804   114.6603093785     12.684 
452324.000    30.4570886803   114.6603093733     12.685 
452325.000    30.4570886767   114.6603093687     12.684 
452326.000    30.4570886667   114.6603093635     12.684 
452327.000    30.4570886728   114.6603093687     12.683 
452328.000    30.4570886820   114.6603093675     12.684 
452329.000    30.4570886920   114.6603093584     12.683 
452330.000    30.4570886926   114.6603093537     12.681 
452331.000    30.4570886877   114.6603093599     12.681 
452332.000    30.4570886821   114.6603093560     12.681 
452333.000    30.4570886958   114.6603093600     12.681 
452334.000    30.4570886960   114.6603093552     12.681 
452335.000    30.4570886859   114.6603093512     12.682 
452336.000    30.4570886903   114.6603093362     12.682 
452337.000    30.4570886931   114.6603093316     12.682 
452338.000    30.4570886832   114.6603093358     12.684 
452339.000    30.4570886845   114.6603093405     12.685 
452340.000    30.4570886867   114.6603093469     12.683 
452341.000    30.4570886835   114.6603093401     12.684 
452342.000    30.4570886859   114.6603093411     12.686 
452343.000    30.4570886874   114.6603093456     12.685 
452344.000    30.4570886907   114.6603093390     12.684 
452345.000    30.4570886972   114.6603093360     12.684 
452346.000    30.4570886995   114.6603093319     12.685 
452347.000    30.4570887062   114.6603093321     12.686 
452348.000    30.4570886923   114.6603093304     12.686 
452349.000    30.4570886851   114.6603093327     12.686 
452350.000    30.4570886922   114.6603093249     12.685 
452351.000    30.4570886925   114.6603093345     12.684 
452352.000    30.4570886929   114.6603093375     12.685 
452353.000    30.4570886830   114.6603093266     12.687 
452354.000    30.4570886770   114.6603093188     12.688 
452355.000    30.4570886783   114.6603093163     12.687 
452356.000    30.4570886764   114.6603093182     12.688 
452357.000    30.4570886777   114.6603093254     12.688 
452358.000    30.4570886917   114.6603093209     12.689 
452359.000    30.4570887024   114.6603093168     12.691 
452360.000    30.4570886940   114.6603093237     12.692 
452361.000    30.4570886820   114.6603093288     12.693 
452362.000    30.4570886849   114.6603093341     12.694 
452363.000    30.4570886865   114.6603093358     12.693 
452364.000    30.4570886844   114.6603093239     12.693 
452365.000    30.4570886926   114.6603093208     12.693 
452366.000    30.4570886912   114.6603093193     12.693 
452367.000    30.4570886899   114.6603093171     12.692 
452368.000    30.4570886857   114.6603093093     12.693 
452369.000    30.4570886784   114.6603093101     12.695 
452370.000    30.4570886805   114.6603093160     12.697 
452371.000    30.4570886808   114.6603093181     12.696 
452372.000    30.4570886856   114.6603093155     12.696 
452373.000    30.4570886837   114.6603093255     12.697 
452374.000    30.4570886751   114.6603093301     12.697 
452375.000    30.4570886803   114.6603093166     12.700 
452376.000    30.4570886873   114.6603093163     12.702 
452377.000    30.4570886874   114.6603093254     12.704 
452378.000    30.4570886901   114.6603093286     12.704 
452379.000    30.4570886893   114.6603093205     12.704 
452380.000    30.4570886896   114.6603093238     12.705 
452381.000    30.4570886894   114.6603093153     12.704 
452382.000    30.4570886852   114.6603093177     12.705 
452383.000    30.4570886966   114.6603093045     12.703 
452384.000    30.4570886977   114.6603093040     12.702 
452385.000    30.4570886880   114.6603093100     12.702 
452386.000    30.4570886908   114.6603093152     12.703 
452387.000    30.4570886944   114.6603093090     12.704 
452388.000    30.4570887025   114.6603093119     12.705 
452389.000    30.4570887023   114.6603093145     12.706 
452390.000    30.4570887018   114.6603093171     12.705 
452391.000    30.4570887052   114.6603093179     12.706 
452392.000    30.4570886994   114.6603093172     12.706 
452393.000    30.4570886916   114.6603093077     12.706 
452394.000    30.4570886943   114.6603093085     12.706 
452395.000    30.4570886912   114.6603093143     12.707 
452396.000    30.4570886913   114.6603093208     12.708 
452397.000    30.4570886961   114.6603093158     12.708 
452398.000    30.4570887000   114.6603093122     12.708 
452399.000    30.4570886984   114.6603093102     12.708 
452400.000    30.4570887024   114.6603093154     12.708 
452401.000    30.4570887014   114.6603093075     12.708 
452402.000    30.4570886951   114.6603093214     12.708 
452403.000    30.4570886879   114.6603093207     12.709 
452404.000    30.4570886968   114.6603093155     12.708 
452405.000    30.4570886995   114.6603093176     12.706 
452406.000    30.4570886923   114.6603093213     12.705 
452407.000    30.4570886909   114.6603093270     12.706 
452408.000    30.4570886950   114.6603093144     12.706 
