   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
 452302.00    30.4570936418   114.6603148159     12.043      0.002     -0.001    0.003 
 452303.00    30.4570936351   114.6603148163     12.045      0.001      0.000    0.003 
 452304.00    30.4570936369   114.6603148276     12.046     -0.000     -0.001    0.002 
 452305.00    30.4570936381   114.6603148296     12.046      0.001     -0.000   -0.001 
 452306.00    30.4570936296   114.6603148362     12.047     -0.001     -0.002    0.002 
 452307.00    30.4570936211   114.6603148388     12.049      0.001     -0.001    0.000 
 452308.00    30.4570936232   114.6603148467     12.050      0.001      0.001   -0.001 
 452309.00    30.4570936396   114.6603148555     12.051      0.002      0.002   -0.001 
 452310.00    30.4570936350   114.6603148518     12.052      0.000     -0.001   -0.000 
 452311.00    30.4570936326   114.6603148501     12.052      0.001      0.002    0.001 
 452312.00    30.4570936351   114.6603148550     12.053      0.001      0.001    0.002 
 452313.00    30.4570936336   114.6603148580     12.054     -0.000     -0.000    0.001 
 452314.00    30.4570936381   114.6603148588     12.054      0.001      0.002    0.000 
 452315.00    30.4570936434   114.6603148692     12.053      0.000     -0.000    0.003 
 452316.00    30.4570936453   114.6603148611     12.053     -0.001      0.001   -0.001 
 452317.00    30.4570936439   114.6603148593     12.054     -0.003     -0.001   -0.001 
 452318.00    30.4570936437   114.6603148444     12.055     -0.003      0.002   -0.002 
 452319.00    30.4570936379   114.6603148479     12.057      0.000     -0.001    0.003 
 452320.00    30.4570936298   114.6603148464     12.057     -0.002     -0.001   -0.001 
 452321.00    30.4570936264   114.6603148452     12.059     -0.000     -0.001    0.000 
 452322.00    30.4570936304   114.6603148604     12.059      0.003      0.001   -0.002 
 452323.00    30.4570936326   114.6603148559     12.060     -0.001      0.002    0.003 
 452324.00    30.4570936344   114.6603148497     12.061      0.000     -0.001    0.001 
 452325.00    30.4570936303   114.6603148447     12.060     -0.001     -0.001   -0.001 
 452326.00    30.4570936196   114.6603148399     12.060      0.001      0.000    0.000 
 452327.00    30.4570936254   114.6603148456     12.060     -0.000      0.002    0.001 
 452328.00    30.4570936347   114.6603148446     12.060     -0.002     -0.000    0.000 
 452329.00    30.4570936444   114.6603148363     12.059     -0.001     -0.000   -0.003 
 452330.00    30.4570936450   114.6603148311     12.058      0.001     -0.001   -0.002 
 452331.00    30.4570936405   114.6603148370     12.057      0.001     -0.001    0.000 
 452332.00    30.4570936350   114.6603148335     12.057      0.001      0.000   -0.001 
 452333.00    30.4570936484   114.6603148375     12.058      0.002      0.001    0.001 
