+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/2/2.ini "
-      数据(基站) = " E:/NavData/IntegratedNavData/20200703wnlbs/GSL1-2020_07_03.20o "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703133220_2.20O "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/2/GNSS "

+ (3)  重要处理参数
-      处理模式 = " 动态差分后处理(PPK) "
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "
-      卫星定位系统 = "  +GPS +北斗 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 11:22:51 "
-      时间(数据) = " 2020/07/03 05:32:41 ~ 2020/07/03 05:54:17 "
-      时间(处理) = " 2020/07/03 05:32:41 ~ 2020/07/03 05:54:17 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
-      Latitude     = 纬度                             
-      Longitude    = 经度                             
-      H-Ell        = 椭球高                            
-      ECEF X       = ECEF X                         
-      ECEF Y       = ECEF Y                         
-      ECEF Z       = ECEF Z                         
----------------------------------END OF HEADER--------------------------------------

   GPSTime         Latitude        Longitude      H-Ell         ECEF X         ECEF Y         ECEF Z  
     (sec)            (Deg)            (Deg)        (m)            (m)            (m)            (m)  
452122.000    30.4570835164   114.6603049745     12.676   -2295957.064    5000892.049    3214160.655 
452123.000    30.4570835479   114.6603050066     12.671   -2295957.064    5000892.042    3214160.656 
452124.000    30.4570835278   114.6603050050     12.668   -2295957.064    5000892.041    3214160.653 
452125.000    30.4570835327   114.6603049973     12.667   -2295957.062    5000892.040    3214160.652 
452126.000    30.4570835300   114.6603050211     12.668   -2295957.065    5000892.040    3214160.653 
452127.000    30.4570835277   114.6603049957     12.668   -2295957.062    5000892.041    3214160.652 
452128.000    30.4570835287   114.6603050059     12.668   -2295957.063    5000892.040    3214160.652 
452129.000    30.4570835396   114.6603049991     12.667   -2295957.062    5000892.040    3214160.653 
452130.000    30.4570835376   114.6603050223     12.663   -2295957.063    5000892.036    3214160.651 
452131.000    30.4570835445   114.6603049907     12.669   -2295957.062    5000892.041    3214160.654 
452132.000    30.4570835380   114.6603050085     12.663   -2295957.062    5000892.036    3214160.651 
452133.000    30.4570835320   114.6603049903     12.666   -2295957.061    5000892.040    3214160.652 
452134.000    30.4570835447   114.6603050326     12.657   -2295957.061    5000892.030    3214160.648 
452135.000    30.4570835367   114.6603050223     12.663   -2295957.063    5000892.036    3214160.651 
452136.000    30.4570835490   114.6603050036     12.661   -2295957.060    5000892.035    3214160.651 
452137.000    30.4570835370   114.6603050131     12.669   -2295957.064    5000892.041    3214160.654 
452138.000    30.4570835304   114.6603050545     12.658   -2295957.064    5000892.030    3214160.647 
452139.000    30.4570835487   114.6603050080     12.663   -2295957.061    5000892.035    3214160.652 
452140.000    30.4570835388   114.6603050284     12.667   -2295957.065    5000892.038    3214160.653 
